txn_id,date,sender_account,receiver_account,amount,currency,txn_type,is_suspicious,SAR_filed
TXN-00000134,2026-02-19,CUST-003619,CUST-002831,48291.31,GBP,transfer,False,False
TXN-00000135,2025-10-25,CUST-001632,CUST-003152,542.2,USD,check,False,False
TXN-00000136,2025-10-28,CUST-002419,CUST-000180,17351.62,EUR,ATM,False,False
TXN-00000137,2026-03-03,CUST-004968,CUST-004070,4515.65,MXN,withdrawal,False,False
TXN-00000138,2025-09-29,CUST-001795,CUST-001558,3392.04,GBP,ATM,False,False
TXN-00000139,2026-01-17,CUST-000796,CUST-000323,2209.71,EUR,transfer,False,False
TXN-00000140,2026-02-10,CUST-002418,CUST-002677,886.44,USD,check,False,False
TXN-00000141,2025-09-22,CUST-004349,CUST-004111,16563.65,MXN,wire,False,False
TXN-00000142,2025-10-28,CUST-002775,CUST-000944,385.74,MXN,withdrawal,False,False
TXN-00000143,2025-04-17,CUST-003256,CUST-004566,3955.5,USD,transfer,False,False
TXN-00000144,2025-08-08,CUST-003020,CUST-002148,4113.86,USD,deposit,False,False
TXN-00000145,2025-07-30,CUST-000206,CUST-004600,3054.31,GBP,deposit,False,False
TXN-00000146,2025-08-03,CUST-002476,CUST-003345,236.28,USD,transfer,False,False
TXN-00000147,2026-01-28,CUST-000797,CUST-001924,686.96,USD,transfer,False,False
TXN-00000148,2025-04-06,CUST-004426,CUST-003434,3635.73,USD,ATM,False,False
TXN-00000149,2025-07-21,CUST-003344,CUST-002292,1858.94,USD,wire,False,False
TXN-00000150,2025-09-24,CUST-000814,CUST-003010,4889.43,USD,deposit,False,False
TXN-00000151,2025-12-21,CUST-001001,CUST-003726,1068.41,GBP,check,False,False
TXN-00000152,2026-03-03,CUST-002733,CUST-001996,14234.25,MXN,check,False,False
TXN-00000153,2025-12-08,CUST-001909,CUST-002692,3945.33,EUR,deposit,False,False
TXN-00000154,2026-01-13,CUST-001065,CUST-004426,880.74,GBP,deposit,False,False
TXN-00000155,2025-09-26,CUST-001950,CUST-004824,879.49,USD,withdrawal,False,False
TXN-00000156,2025-07-02,CUST-000932,CUST-000521,3892.31,EUR,check,False,False
TXN-00000157,2025-07-14,CUST-001815,CUST-000356,4544.67,GBP,check,False,False
TXN-00000158,2025-05-03,CUST-000256,CUST-000499,24182.31,USD,wire,False,False
TXN-00000159,2025-08-13,CUST-000603,CUST-000662,750.19,USD,transfer,False,False
TXN-00000160,2025-06-02,CUST-004493,CUST-002664,2990.99,USD,wire,False,False
TXN-00000161,2025-08-20,CUST-000813,CUST-000938,3258.07,MXN,check,False,False
TXN-00000162,2025-12-08,CUST-003524,CUST-003700,2074.93,MXN,wire,False,False
TXN-00000163,2026-02-08,CUST-002561,CUST-003497,1281.9,USD,ATM,False,False
TXN-00000164,2026-02-22,CUST-000748,CUST-000700,491.86,GBP,transfer,False,False
TXN-00000165,2025-06-17,CUST-000492,CUST-004805,35150.6,USD,transfer,False,False
TXN-00000166,2025-08-24,CUST-000422,CUST-002357,1764.71,EUR,check,False,False
TXN-00000167,2025-04-26,CUST-003951,CUST-001838,1757.07,EUR,transfer,False,False
TXN-00000168,2025-11-06,CUST-004704,CUST-001853,4227.32,MXN,check,False,False
TXN-00000169,2025-05-03,CUST-004561,CUST-000216,3292.58,GBP,transfer,False,False
TXN-00000170,2025-11-09,CUST-002532,CUST-002784,915.21,USD,check,False,False
TXN-00000171,2026-02-21,CUST-001163,CUST-000252,2657.11,USD,wire,False,False
TXN-00000172,2026-01-07,CUST-003032,CUST-002553,3886.41,EUR,check,False,False
TXN-00000173,2026-03-02,CUST-001275,CUST-001290,258.31,USD,transfer,False,False
TXN-00000174,2025-08-23,CUST-003979,CUST-004974,1373.1,MXN,check,False,False
TXN-00000175,2025-08-20,CUST-000909,CUST-002321,2969.74,EUR,ATM,False,False
TXN-00000176,2025-12-06,CUST-003238,CUST-004910,1030.07,USD,withdrawal,False,False
TXN-00000177,2025-10-31,CUST-002688,CUST-000983,3737.6,USD,withdrawal,False,False
TXN-00000178,2025-04-02,CUST-001886,CUST-004099,3343.56,USD,deposit,False,False
TXN-00000179,2026-03-07,CUST-003574,CUST-000154,398.53,USD,check,False,False
TXN-00000180,2025-09-02,CUST-003422,CUST-002372,114.07,USD,withdrawal,False,False
TXN-00000181,2025-05-16,CUST-003770,CUST-002965,4223.98,USD,wire,False,False
TXN-00000182,2025-07-03,CUST-000645,CUST-003243,3731.57,USD,transfer,False,False
TXN-00000183,2026-02-17,CUST-004182,CUST-000935,977.58,MXN,transfer,False,False
TXN-00000184,2025-05-02,CUST-001210,CUST-001936,1287.28,USD,check,False,False
TXN-00000185,2025-04-27,CUST-000618,CUST-001452,25877.89,EUR,check,False,False
TXN-00000186,2025-06-12,CUST-002648,CUST-002590,350.75,USD,ATM,False,False
TXN-00000187,2025-11-08,CUST-004845,CUST-000461,380.21,USD,wire,False,False
TXN-00000188,2025-09-21,CUST-002352,CUST-000629,4887.07,USD,check,False,False
TXN-00000189,2025-09-13,CUST-003791,CUST-004755,3961.17,USD,wire,False,False
TXN-00000190,2025-06-09,CUST-001543,CUST-002634,2511.82,USD,wire,False,False
TXN-00000191,2025-10-04,CUST-000691,CUST-004134,205.32,GBP,wire,False,False
TXN-00000192,2025-07-03,CUST-004283,CUST-004996,1870.53,USD,wire,False,False
TXN-00000193,2025-10-06,CUST-004898,CUST-000429,3240.05,USD,transfer,False,False
TXN-00000194,2025-04-15,CUST-003167,CUST-002328,4259.32,EUR,withdrawal,False,False
TXN-00000195,2025-06-03,CUST-001159,CUST-002866,3283.71,GBP,wire,False,False
TXN-00000196,2025-03-31,CUST-000695,CUST-002537,3221.03,USD,withdrawal,False,False
TXN-00000197,2025-04-12,CUST-004313,CUST-000766,2122.8,USD,deposit,False,False
TXN-00000198,2025-12-26,CUST-001755,CUST-002800,15194.44,USD,withdrawal,False,False
TXN-00000199,2026-02-05,CUST-004159,CUST-004422,4419.57,USD,ATM,False,False
TXN-00000200,2025-05-16,CUST-001074,CUST-004893,819.61,MXN,ATM,False,False
TXN-00000201,2026-01-03,CUST-003586,CUST-000358,3385.05,USD,wire,False,False
TXN-00000202,2025-08-11,CUST-001917,CUST-004375,4828.33,MXN,wire,False,False
TXN-00000203,2025-12-19,CUST-003014,CUST-004673,17679.73,USD,check,False,False
TXN-00000204,2026-01-05,CUST-001636,CUST-004954,1257.52,GBP,wire,False,False
TXN-00000205,2025-06-18,CUST-000841,CUST-004227,1432.46,MXN,withdrawal,False,False
TXN-00000206,2025-07-09,CUST-001208,CUST-003584,4553.42,MXN,wire,False,False
TXN-00000207,2026-03-15,CUST-003399,CUST-000437,1876.07,USD,deposit,False,False
TXN-00000208,2026-03-14,CUST-002611,CUST-000812,3253.3,MXN,withdrawal,False,False
TXN-00000209,2025-11-02,CUST-003871,CUST-001137,2350.86,EUR,deposit,False,False
TXN-00000210,2026-03-19,CUST-002097,CUST-001767,2748.53,GBP,check,False,False
TXN-00000211,2026-01-31,CUST-002361,CUST-001947,248.27,USD,ATM,False,False
TXN-00000212,2025-08-06,CUST-000515,CUST-000909,2504.15,EUR,deposit,False,False
TXN-00000213,2025-06-07,CUST-001982,CUST-001177,17.81,USD,withdrawal,False,False
TXN-00000214,2025-12-23,CUST-000702,CUST-004289,28672.68,EUR,check,False,False
TXN-00000215,2025-09-10,CUST-003852,CUST-000357,4905.39,USD,ATM,True,False
TXN-00000216,2025-10-03,CUST-001976,CUST-000850,3678.58,USD,withdrawal,False,False
TXN-00000217,2025-06-22,CUST-002774,CUST-001435,3426.57,GBP,wire,False,False
TXN-00000218,2026-01-18,CUST-000517,CUST-003750,1015.94,MXN,withdrawal,False,False
TXN-00000219,2025-10-18,CUST-002541,CUST-004223,4078.88,USD,transfer,False,False
TXN-00000220,2025-05-01,CUST-001566,CUST-002344,3906.4,MXN,ATM,False,False
TXN-00000221,2026-01-24,CUST-003015,CUST-003580,3719.11,USD,transfer,False,False
TXN-00000222,2025-07-17,CUST-004076,CUST-003010,41051.66,GBP,wire,False,False
TXN-00000223,2025-05-24,CUST-001479,CUST-004469,521.96,USD,ATM,False,False
TXN-00000224,2025-08-12,CUST-004937,CUST-003491,2225.1,USD,deposit,False,False
TXN-00000225,2025-09-29,CUST-003564,CUST-002250,3959.47,USD,deposit,False,False
TXN-00000226,2025-09-02,CUST-002977,CUST-004204,3400.26,USD,withdrawal,False,False
TXN-00000227,2025-04-15,CUST-003590,CUST-000286,1187.62,GBP,transfer,False,False
TXN-00000228,2025-06-11,CUST-000266,CUST-004957,2255.11,USD,transfer,False,False
TXN-00000229,2026-02-17,CUST-004702,CUST-001128,1996.19,GBP,transfer,False,False
TXN-00000230,2026-01-29,CUST-000213,CUST-001525,1941.07,EUR,deposit,False,False
TXN-00000231,2025-11-15,CUST-003656,CUST-001758,46241.55,USD,withdrawal,False,False
TXN-00000232,2026-02-19,CUST-003704,CUST-001415,2231.1,USD,ATM,False,False
TXN-00000233,2025-10-16,CUST-002847,CUST-000532,1458.91,USD,withdrawal,False,False
TXN-00000234,2025-04-04,CUST-001427,CUST-002962,615.6,USD,withdrawal,False,False
TXN-00000235,2025-07-19,CUST-000216,CUST-002957,1850.87,MXN,check,False,False
TXN-00000236,2026-02-12,CUST-000539,CUST-002534,3587.5,USD,check,False,False
TXN-00000237,2025-08-31,CUST-004710,CUST-000605,1591.97,USD,wire,False,False
TXN-00000238,2025-07-07,CUST-002823,CUST-001052,3903.51,GBP,check,False,False
TXN-00000239,2026-01-21,CUST-003545,CUST-004120,10587.25,USD,transfer,False,False
TXN-00000240,2025-10-14,CUST-001848,CUST-002835,17782.17,USD,transfer,False,False
TXN-00000241,2025-06-19,CUST-002249,CUST-001026,3076.0,USD,check,False,False
TXN-00000242,2025-05-29,CUST-004757,CUST-001264,3126.15,EUR,transfer,False,False
TXN-00000243,2025-06-13,CUST-000338,CUST-000233,4743.25,MXN,check,False,False
TXN-00000244,2025-12-11,CUST-004687,CUST-003413,161.13,GBP,check,False,False
TXN-00000245,2025-10-25,CUST-003957,CUST-002007,3428.1,USD,wire,False,False
TXN-00000246,2026-02-26,CUST-001295,CUST-003602,2327.57,USD,check,False,False
TXN-00000247,2025-10-16,CUST-002830,CUST-003267,1859.0,EUR,deposit,False,False
TXN-00000248,2025-08-02,CUST-001004,CUST-002192,712.98,USD,transfer,False,False
TXN-00000249,2025-05-17,CUST-003426,CUST-002034,41606.5,EUR,ATM,False,False
TXN-00000250,2026-01-06,CUST-004082,CUST-004217,4396.59,USD,deposit,False,False
TXN-00000251,2025-09-08,CUST-004141,CUST-003746,20880.28,USD,transfer,False,False
TXN-00000252,2025-04-28,CUST-003856,CUST-002341,4237.39,USD,withdrawal,False,False
TXN-00000253,2025-09-22,CUST-003304,CUST-002998,265.28,EUR,withdrawal,False,False
TXN-00000254,2025-11-01,CUST-000603,CUST-003165,3824.38,USD,check,False,False
TXN-00000255,2026-01-27,CUST-001055,CUST-000793,3976.54,USD,check,False,False
TXN-00000256,2026-01-14,CUST-001631,CUST-004936,2505.39,USD,deposit,False,False
TXN-00000257,2025-10-09,CUST-003881,CUST-004255,3035.24,EUR,withdrawal,False,False
TXN-00000258,2025-05-19,CUST-002610,CUST-001332,3086.34,MXN,transfer,False,False
TXN-00000259,2025-07-12,CUST-004176,CUST-004361,2818.99,USD,deposit,False,False
TXN-00000260,2025-04-18,CUST-000898,CUST-003413,3985.81,GBP,ATM,False,False
TXN-00000261,2025-05-27,CUST-003888,CUST-002176,39927.29,EUR,withdrawal,False,False
TXN-00000262,2025-06-03,CUST-003936,CUST-001397,3608.7,MXN,wire,False,False
TXN-00000263,2025-04-14,CUST-001985,CUST-000259,3505.6,USD,deposit,False,False
TXN-00000264,2025-08-26,CUST-001241,CUST-003383,2057.78,MXN,check,False,False
TXN-00000265,2026-02-25,CUST-001132,CUST-004250,1632.0,GBP,wire,False,False
TXN-00000266,2025-10-19,CUST-001419,CUST-003766,20942.91,MXN,ATM,False,False
TXN-00000267,2025-04-08,CUST-002166,CUST-004998,4787.11,USD,check,False,False
TXN-00000268,2025-10-27,CUST-002368,CUST-001699,2450.13,USD,transfer,False,False
TXN-00000269,2025-11-08,CUST-002358,CUST-000999,2720.52,USD,transfer,False,False
TXN-00000270,2026-01-13,CUST-002380,CUST-000345,3573.57,USD,wire,False,False
TXN-00000271,2025-07-26,CUST-001753,CUST-001656,1362.95,EUR,ATM,False,False
TXN-00000272,2026-02-01,CUST-004808,CUST-001961,3352.47,EUR,withdrawal,False,False
TXN-00000273,2026-03-02,CUST-000821,CUST-003386,2367.3,GBP,withdrawal,True,False
TXN-00000274,2026-01-07,CUST-003334,CUST-003897,1005.29,USD,transfer,False,False
TXN-00000275,2026-02-26,CUST-000733,CUST-004704,3696.05,MXN,deposit,False,False
TXN-00000276,2025-12-29,CUST-003424,CUST-001441,42629.14,MXN,wire,False,False
TXN-00000277,2025-10-31,CUST-000307,CUST-000076,3017.89,USD,transfer,False,False
TXN-00000278,2025-05-04,CUST-004451,CUST-004296,4693.42,MXN,check,False,False
TXN-00000279,2025-12-20,CUST-000923,CUST-002709,2299.98,USD,ATM,False,False
TXN-00000280,2025-10-07,CUST-002417,CUST-004652,973.87,EUR,ATM,False,False
TXN-00000281,2025-08-22,CUST-004222,CUST-002687,3349.59,USD,withdrawal,False,False
TXN-00000282,2025-11-21,CUST-000056,CUST-002137,2239.21,USD,transfer,False,False
TXN-00000283,2025-06-08,CUST-000094,CUST-002143,3466.92,USD,ATM,False,False
TXN-00000284,2025-10-22,CUST-001309,CUST-003322,4616.3,GBP,transfer,False,False
TXN-00000285,2025-05-05,CUST-002417,CUST-003011,1103.45,USD,wire,False,False
TXN-00000286,2025-05-22,CUST-003061,CUST-003407,4564.86,MXN,check,False,False
TXN-00000287,2025-12-07,CUST-002028,CUST-004881,418.53,USD,check,False,False
TXN-00000288,2026-02-17,CUST-004622,CUST-000920,2742.77,EUR,withdrawal,False,False
TXN-00000289,2026-01-11,CUST-001348,CUST-002688,2214.78,GBP,withdrawal,False,False
TXN-00000290,2025-07-21,CUST-000745,CUST-004181,287.62,USD,check,False,False
TXN-00000291,2025-06-13,CUST-000473,CUST-004578,4036.51,GBP,deposit,False,False
TXN-00000292,2026-03-27,CUST-001786,CUST-004738,2124.25,GBP,deposit,False,False
TXN-00000293,2026-02-26,CUST-000566,CUST-003868,2050.25,MXN,withdrawal,False,False
TXN-00000294,2025-05-02,CUST-003444,CUST-003068,44132.91,USD,wire,False,False
TXN-00000295,2025-04-24,CUST-004418,CUST-001090,1745.37,USD,check,False,False
TXN-00000296,2026-01-22,CUST-001825,CUST-000029,4892.67,USD,ATM,False,False
TXN-00000297,2025-08-23,CUST-004358,CUST-003108,1245.09,USD,withdrawal,False,False
TXN-00000298,2026-01-30,CUST-000264,CUST-003435,4681.83,USD,withdrawal,False,False
TXN-00000299,2026-02-05,CUST-004866,CUST-000276,3363.4,MXN,deposit,False,False
TXN-00000300,2026-03-06,CUST-003296,CUST-003596,1094.17,MXN,deposit,False,False
TXN-00000301,2025-10-31,CUST-001919,CUST-004720,2993.61,GBP,transfer,False,False
TXN-00000302,2026-01-14,CUST-004271,CUST-001811,1383.02,EUR,check,False,False
TXN-00000303,2025-12-29,CUST-003500,CUST-004554,4861.73,GBP,ATM,False,False
TXN-00000304,2025-07-03,CUST-002612,CUST-003411,1506.44,USD,check,False,False
TXN-00000305,2025-12-03,CUST-002464,CUST-001183,4574.56,EUR,wire,False,False
TXN-00000306,2025-06-16,CUST-004342,CUST-001099,1282.43,USD,ATM,False,False
TXN-00000307,2025-08-10,CUST-003040,CUST-000758,4148.74,USD,transfer,False,False
TXN-00000308,2025-05-23,CUST-004940,CUST-000324,948.93,MXN,check,False,False
